Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105714830,Wyoming,17.0,-0.5,181,4.6,Devil's Tower,Trad
105751174,Colorado,22.5,0.0,63,3.6,Boulder,Trad
105917818,New Hampshire,14.5,0.0,137,3.2,Rumney,Sport
105806018,New York,11.5,0.0,66,3.7,The Gunks,Trad
105793821,Washington,16.5,0.0,94,4.1,Central-West Cascades & Seattle,Trad
105725389,California,19.0,0.0,139,4.2,Joshua Tree National Park,Trad
105879133,New Hampshire,26.0,0.0,100,4.4,Rumney,Sport
106019649,Utah,20.0,0.0,43,3.7,Moab Area,Trad
105717439,Utah,22.5,0.0,91,4.4,Moab Area,Trad
105925756,New Hampshire,14.5,0.0,163,4.0,Cathedral Ledge,Trad
105761262,Colorado,20.0,0.0,125,3.1,Boulder,Sport
105883364,Utah,24.5,0.0,86,4.8,Moab Area,Trad
105923846,New Hampshire,16.0,0.0,126,3.1,Rumney,Sport
105722488,California,18.0,0.0,99,3.9,Joshua Tree National Park,Trad
106002348,New York,18.0,0.0,55,4.4,Adirondacks,Trad
105983489,Utah,22.0,0.0,68,3.8,Maple Canyon,Sport
105718087,Utah,23.0,0.0,136,4.8,Moab Area,Trad
106109550,Colorado,23.0,0.0,54,2.7,Boulder,Sport
105956674,New Hampshire,16.0,0.0,55,2.9,Rumney,Sport
105975325,Maine,13.0,0.0,73,4.4,Acadia National Park,Trad
105889540,Kentucky,22.0,0.0,126,4.4,Red River Gorge,Sport
105741710,Utah,14.5,0.0,42,3.6,Wasatch Range,Trad
105750520,Colorado,17.5,0.0,129,3.7,Boulder,Trad
105741215,Utah,23.0,0.0,74,4.3,Wasatch Range,Trad
105790017,Oregon,20.0,0.0,76,3.4,Central Oregon,Sport
105750946,Wyoming,11.5,0.0,67,3.6,Vedauwoo,Trad
105717361,Utah,22.0,0.0,190,4.4,Moab Area,Trad
105739889,Utah,13.0,0.0,160,2.9,Wasatch Range,Sport
105748999,Colorado,18.0,-1.0,210,4.3,Boulder,Trad
105761160,Colorado,14.5,0.0,65,2.6,Boulder,Sport
105750400,Colorado,22.75,0.0,114,4.8,Boulder,Trad
105759084,Colorado,16.5,0.5,88,3.3,Canon City,Sport
105717670,Utah,20.0,0.5,101,3.6,Moab Area,Trad
105764184,Colorado,18.0,0.5,106,2.8,Boulder,Sport
105748412,Colorado,19.0,0.0,151,4.3,Boulder,Trad
106057108,New Hampshire,10.5,0.0,65,3.6,Rumney,Sport
105748948,Colorado,17.5,0.0,155,4.1,Boulder,Trad
105842817,International,16.0,0.0,101,4.1,North America,Trad
105722842,California,17.5,0.0,77,4.2,Joshua Tree National Park,Trad
105857742,International,16.0,0.0,101,4.0,North America,Trad
105718441,Utah,17.5,0.0,177,3.4,Moab Area,Trad
105732350,Nevada,21.0,0.0,81,4.3,Red Rock,Trad
105732431,Nevada,21.0,1.0,207,4.4,Red Rock,Sport
106511486,New York,10.5,0.0,66,3.4,The Gunks,Trad
105754774,Colorado,17.5,0.0,93,4.0,Boulder,Trad
105761274,Colorado,25.0,1.5,123,3.8,Boulder,Sport
105877935,California,16.0,0.0,72,3.7,Yosemite National Park,Trad
105740942,Idaho,16.0,0.0,116,3.8,City of Rocks,Sport
105921754,New Hampshire,16.5,0.0,88,3.0,Rumney,Trad
105827646,Wyoming,18.0,-1.0,79,3.9,Lander Area,Sport
105891803,Utah,19.0,-0.5,79,3.4,Moab Area,Sport
105732320,Nevada,22.5,0.0,96,3.8,Red Rock,Sport
105753067,Colorado,22.5,0.5,120,3.4,Boulder,Trad
105756937,Colorado,20.0,0.0,85,3.4,Boulder,Sport
105740012,Utah,13.0,0.0,173,3.9,Wasatch Range,Trad
105722041,California,19.0,0.0,73,3.2,Joshua Tree National Park,Trad
105748801,Colorado,20.5,0.0,58,4.0,Boulder,Trad
105760599,Colorado,20.5,-1.0,65,3.0,Boulder,Sport
105753619,Colorado,17.5,0.0,51,3.9,Boulder,Trad
105740684,Utah,16.0,0.0,47,3.4,Wasatch Range,Trad
105877243,New Hampshire,22.5,0.0,99,3.9,Rumney,Sport
105722221,California,13.0,-1.5,134,3.4,Joshua Tree National Park,Trad
105740612,Utah,18.0,0.0,73,3.6,Wasatch Range,Sport
105748026,Colorado,23.0,0.0,72,3.3,Boulder,Sport
105870616,Colorado,16.0,0.5,77,3.4,Boulder,Sport
106065449,International,17.5,0.0,92,4.3,North America,Trad
105753838,Colorado,24.0,0.0,68,3.8,Rifle,Sport
105741449,Utah,21.0,0.0,79,4.4,Wasatch Range,Trad
105891002,Nevada,24.5,-0.5,57,4.4,Red Rock,Sport
105740990,Utah,19.0,0.0,77,3.8,Wasatch Range,Sport
105871252,California,21.0,0.0,85,4.7,Yosemite National Park,Trad
105718297,Utah,23.5,0.0,97,4.8,Moab Area,Trad
105916648,California,19.0,0.0,49,4.3,Yosemite National Park,Trad
105715082,Wyoming,19.0,0.0,96,4.3,Devil's Tower,Trad
105732782,Nevada,20.0,-1.0,92,4.7,Red Rock,Trad
105753676,Colorado,22.0,-0.5,45,3.3,Rifle,Sport
105924990,New Hampshire,17.5,0.0,110,4.3,Cathedral Ledge,Trad
105761265,Colorado,22.5,-0.25,82,3.2,Boulder,Sport
106046446,New York,14.5,0.0,86,3.9,The Gunks,Trad
105741869,Idaho,19.0,0.0,92,3.6,City of Rocks,Trad
105880562,Nevada,20.0,0.0,87,3.4,Red Rock,Sport
105718264,Utah,23.0,0.0,55,4.4,Moab Area,Trad
105732470,Nevada,17.5,0.0,137,4.1,Red Rock,Trad
105968232,Colorado,19.0,0.0,79,3.4,Boulder,Sport
